date,water_precipitation,water_height,water_flow,water_volume,water_volume_variation
1990-01-01,0.0,31.87,12.2,11983985.0,
1990-01-02,2.2,31.85,11.0,11932800.0,-51185.0
1990-01-03,2.2,31.84,10.7,11907258.0,-25542.0
1990-01-04,2.0,31.83,10.0,11881748.0,-25510.0
1990-01-05,10.5,31.82,9.3,11856272.0,-25476.0
1990-01-06,16.4,31.81,8.8,11830829.0,-25443.0
1990-01-07,1.6,31.87,12.2,11983985.0,153156.0
1990-01-08,0.0,31.86,11.5,11958376.0,-25609.0
1990-01-09,0.0,31.82,9.3,11856272.0,-102104.0
1990-01-10,0.0,31.8,8.4,11805419.0,-50853.0
1990-01-11,0.0,31.8,8.5,11805419.0,0.0
1990-01-12,0.0,31.66,6.9,11453147.0,-352272.0
1990-01-13,4.2,31.64,6.8,11403349.0,-49798.0
1990-01-14,0.0,31.62,5.7,11353683.0,-49666.0
1990-01-15,0.0,31.61,5.7,11328899.0,-24784.0
1990-01-16,0.0,31.53,7.2,11131809.0,-197090.0
1990-01-17,1.8,31.42,7.1,10876641.0,-255168.0
1990-01-18,0.0,31.31,7.0,10615324.0,-261317.0
1990-01-19,0.0,31.21,7.0,10381346.0,-233978.0
1990-01-20,0.0,31.04,7.0,9991429.0,-389917.0
1990-01-21,0.0,30.92,6.9,9721814.0,-269615.0
1990-01-22,0.0,30.79,6.9,9435732.0,-286082.0
1990-01-23,4.0,30.8,3.8,9457337.0,21605.0
1990-01-24,1.8,30.81,3.8,9479315.0,21978.0
1990-01-25,8.2,30.83,3.8,9523270.0,43955.0
1990-01-26,3.4,30.87,3.8,9611180.0,87910.0
1990-01-27,17.5,30.9,3.8,9677113.0,65933.0
1990-01-28,0.0,31.04,3.9,9991429.0,314316.0
1990-01-29,18.6,31.1,3.9,10127644.0,136215.0
1990-01-30,27.0,31.2,7.0,10357981.0,230337.0
1990-01-31,5.4,31.1,10.9,10127644.0,-230337.0
1990-02-01,30.0,31.14,10.9,10219779.0,92135.0
